@relation crimer

@attribute crimetype string
@attribute class {personal,property,inchoate,statutory,financial}

@data
'Grand Theft Auto Chicago: Car-Jackings Surge To Decade Highs',personal
'Grand Theft Auto Chicago: Carjackings Surge To Decade Highs',property
'Top officials at Backpage.com indicted after classifieds site taken offline',inchoate
'Top officials at Backpage.com indicted after classifieds site taken offline',inchoate
'White Sox rehire groundskeeper after wrongful conviction, more than 20 years in prison',statutory
'Top officials at Backpage.com indicted after classifieds site taken offline - Washington Post',financial
'Ex-All-Star pitcher Esteban Loaiza denies dealing cocaine',financial
'Minneapolis cop charged with murder after shooting woman who reported a sexual assault',financial
'Woman attacked in attempted sexual assault: police',financial
'WATCH: Two police officers shot and killed outside of Columbus, Ohio',financial
'Blaze Bernstein homicide case: Former classmate enters not guilty plea - KABC-TV',financial
'Stan Lee sued by massage therapist over sexual misconduct allegations',financial
'Officials behind Backpage website arrested on a 93-count indictment alleging money laundering and child sex trafficking',financial
'Commentary: Larry Nassar Deserves a Life Sentence—Not Sexual Assault',financial
'Hannibal Buress’ Mic Cut After Joking About Catholic Sex Abuse',financial
'Illinois officials to address lack of nurses specializing in sexual assault care - Northwest Herald',financial
'Illinois officials to address lack of sexual assault nurses - Kansas City Star',financial
'Lawyer sues Thompson Coburn for $10M, says law firm has ‘some serious explaining to do’',financial
'Lawyer sues Thompson Coburn for $10M, says law firm has ‘some serious explaining to do’',financial
'Lawyer sues Thompson Coburn for $10M, says law firm has ‘some serious explaining to do’',financial
'Illinois officials to address lack of sexual assault nurses',financial
'Did the End of Stop-and-Frisk Cause Murder to Explode in Chicago?',financial
'Overhaul of Crime Stats Should Include Data Theft, Toxic Spills: Expert Panel',financial
'Illinois officials to address lack of sexual assault nurses',financial
'Hey, violent crime was down last year! Well, except for, you know… murder',financial
'Feds Detain 225 Migrants in New York’s ‘Sanctuary City’',financial
'Hawks’ DeAndre’ Bembry arrested for driving 128 MPH in apparent race',financial
'Illinois law seeks to improve sexual assault reporting',financial
'What Is ‘Convicting A Murderer’? Another Steven Avery Series Is In Progress Because This Story Isn’t Over',financial
'Illinois law seeks to improve sexual assault reporting',financial
'CDS : US Justice Dept Serves Up 75 Money Laundering Charges',financial
'Everything we know about GTA 6 so far – and how predictive science might help us plot the future of Rockstar\'s open-world series',financial
'Massachusetts ranked as safest state in the country',financial
'WATCH: Trump calling for due process after staffers resigned in the face of domestic abuse allegation',financial
'Man charged in 2000 Chicago arson fire that killed 2 women',financial
'Reputed mobster pleads guilty after recorded talking gleefully about upcoming home invasion',financial
'Man charged after toddler daughter shot pregnant mother with his gun outside Plato\'s Closet in Merrillville - nwitimes.com',financial
'Comedian told by school to avoid rape jokes. He tells rape joke anyway—and school stands up to him.',financial
'Hannibal Buress Kicked Off Stage at Loyola U. for Mentioning Church Sex Scandal',financial
'Baker McKenzie investigated after alleged sexual assault',financial
'Woman gets 3 years after guilty plea in videotaped beating',financial
'Woman gets 3 years for involvement in beating of special needs man',financial
'The Game Faces Deadline In $7.1 Million Sexual Battery Case',financial
'2 women claim Steven Seagal sexually assaulted them in their teens - KABC-TV',financial
'How police \'cook the books\' on solved crime rates',financial
'Man charged in 2000 Chicago arson fire that killed 2 women',financial
'Lawmakers Busted for Drunk Driving',financial
'CPS security guard charged with sexual assault',financial
'FBI asks people to stop sharing child pornography video on Facebook - Q13 FOX',financial
'Datsik Accused of Pattern of Sexual Assault on Twitter, Responds…Poorly - Dance Music Northwest',financial
'Sexual assault charges filed against Chicago police officer',financial
'Sexual assault charges filed against Chicago police officer',financial
'Chicago-area teacher faces 12 sexual assault counts',financial
'Cities Need Solutions to Solve Homicide Epidemic',financial
'93 counts of indictment issues to officials behind website facilitating prostitution and human trafficking advertisements',financial
'Mother of slain Chicago teen who was victim of sex trafficking attends White House bill signing',financial
'No bond for ex-wife in Beavercreek man\'s death; family seeks missing child - MyDaytonDailyNews',financial
'US officer charged with murder of unarmed Australian woman',financial
